,name,homepage,github_id,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,commit_count,image,trending,github_release_downloads,monthly_downloads,updated_github_id
0,🤗 Datasets Viewer,https://huggingface.co/datasets/viewer/,huggingface/datasets,nlp,True,https://github.com/huggingface/datasets,Apache-2.0,2020-03-26 09:23:22,2024-05-17 16:22:27,2024-05-17 16:22:27,2472.0,620.0,2146.0,18535.0,2024-05-06 09:40:13,2.19.1,86.0,"The largest hub of ready-to-use datasets for ML models with fast, easy-to-use and efficient data manipulation tools.",49113.0,49113.0,562.0,27,1,,,,,,
1,Taming Transformers,https://github.com/CompVis/taming-transformers,CompVis/taming-transformers,cv,True,https://github.com/CompVis/taming-transformers,MIT,2020-12-17 14:47:06,2024-04-25 11:58:51,2022-11-07 20:00:25,1061.0,136.0,74.0,5428.0,,,,"Taming Transformers for High-Resolution Image Synthesis, CVPR 2021 (Oral).",479.0,479.0,8.0,18,1,96.0,,,,,
2,HiPlot,https://facebookresearch.github.io/hiplot/tuto_streamlit.html,facebookresearch/hiplot,extension,True,https://github.com/facebookresearch/hiplot,MIT,2019-11-08 13:06:41,2024-01-10 07:43:27,2023-07-19 07:40:10,137.0,16.0,73.0,2705.0,2021-11-04 14:24:43,0.1.32,7.0,HiPlot makes understanding high dimensional data easy.,404.0,404.0,9.0,17,2,,https://assets.website-files.com/5dc3b47ddc6c0c2a1af74ad0/5efcfd29b5f47b2e77291252_Screen%20Recording%202020-07-01%20at%2006.08%20PM.gif,-1.0,,,
3,Traingenerator,https://traingenerator.jrieke.com/,jrieke/traingenerator,ml,True,https://github.com/jrieke/traingenerator,MIT,2020-12-03 16:47:16,2023-08-23 08:35:09,2022-06-30 14:05:23,178.0,7.0,3.0,1345.0,,,,A web app to generate template code for machine learning.,,,3.0,12,1,,https://github.com/jrieke/traingenerator/raw/main/docs/assets/demo.gif,,,,
4,WebRTC,https://streamlit-webrtc-example.herokuapp.com/,whitphx/streamlit-webrtc,extension,True,https://github.com/whitphx/streamlit-webrtc,MIT,2021-01-04 14:13:24,2024-05-20 02:56:57,2024-05-20 02:56:57,166.0,67.0,129.0,1204.0,2024-03-05 14:12:37,0.47.6,55.0,"Real-time video and audio streams over the network, with Streamlit.",3373.0,3373.0,5.0,21,1,,https://aws1.discourse-cdn.com/business7/uploads/streamlit/original/2X/a/af111a7393c77cb69d7712ac8e71ca862feaeb24.gif,2.0,12.0,0.0,
5,Udacity Self-driving Car,https://share.streamlit.io/streamlit/demo-self-driving,streamlit/demo-self-driving,demo,True,https://github.com/streamlit/demo-self-driving,Apache-2.0,2019-09-06 21:02:45,2024-04-27 13:50:00,2022-06-22 11:57:28,432.0,2.0,9.0,1149.0,,,,Streamlit app demonstrating an image browser for the Udacity self-driving-car dataset with realtime object detection..,,,15.0,14,1,117.0,https://assets.website-files.com/5eb1d49f3ed8c28a5a54769f/5ed15d93ea8434e97414e47f_5e1115140227d02d6777adcb_AV_website_large.gif,,,,
6,AgGrid,https://share.streamlit.io/pablocfonseca/streamlit-aggrid/main/example.py,PablocFonseca/streamlit-aggrid,extension,True,https://github.com/PablocFonseca/streamlit-aggrid,MIT,2020-12-17 22:57:06,2024-05-06 23:04:28,2024-05-06 23:04:10,181.0,51.0,179.0,956.0,,,,AgGrid is an awesome grid for web frontend.,4914.0,4914.0,22.0,19,1,,https://github.com/PablocFonseca/streamlit-aggrid/raw/main/group_selection_example.gif,2.0,,,
7,spaCy,https://share.streamlit.io/ines/spacy-streamlit-demo/master/app.py,explosion/spacy-streamlit,extension,True,https://github.com/explosion/spacy-streamlit,MIT,2020-06-23 11:00:08,2023-08-02 15:01:10,2023-08-02 15:01:10,114.0,4.0,21.0,767.0,2023-04-25 09:43:58,1.0.6,12.0,spaCy building blocks and visualizers for Streamlit apps.,,,14.0,13,3,85.0,https://user-images.githubusercontent.com/13643239/85388081-f2da8700-b545-11ea-9bd4-e303d3c5763c.png,-2.0,,,
8,Drawable Canvas,https://share.streamlit.io/andfanilo/streamlit-drawable-canvas-demo/master/app.py,andfanilo/streamlit-drawable-canvas,extension,True,https://github.com/andfanilo/streamlit-drawable-canvas,MIT,2020-05-10 15:37:54,2024-04-27 14:22:54,2023-06-05 17:12:43,78.0,45.0,61.0,528.0,2023-06-05 17:14:33,0.9.3,2.0,"Do you like Quick, Draw? Well what if you could train/predict doodles drawn inside Streamlit? Also draws lines,..",1688.0,1688.0,10.0,18,1,,https://github.com/andfanilo/streamlit-drawable-canvas/raw/develop/img/demo.gif,-1.0,,,
9,ECharts,https://share.streamlit.io/andfanilo/streamlit-echarts-demo/master/app.py,andfanilo/streamlit-echarts,extension,True,https://github.com/andfanilo/streamlit-echarts,MIT,2020-05-04 17:10:16,2023-03-07 06:25:08,2023-02-20 08:26:29,58.0,14.0,15.0,487.0,2021-12-12 13:38:44,0.4.0,1.0,A Streamlit component to render ECharts.,914.0,914.0,7.0,16,2,,https://github.com/andfanilo/streamlit-echarts/raw/develop/img/demo.gif,,,,
